step,totalVehicleNumber
10,4
20,9
30,15
40,18
50,21
60,26
70,24
80,21
90,21
100,25
110,21
120,23
130,24
140,25
150,27
160,22
170,20
180,19
190,19
200,17
210,19
220,20
230,22
240,24
250,28
260,29
270,27
280,24
290,22
300,19
310,21
320,16
330,18
340,23
350,22
360,21
370,19
380,17
390,17
400,16
410,12
420,17
430,23
440,22
450,24
460,28
470,26
480,23
490,27
500,22
510,26
520,27
530,27
540,28
550,21
560,24
570,22
580,21
590,21
600,20
610,13
620,14
630,10
640,8
650,5
660,1
670,0
