step,totalVehicleNumber
10,4
20,9
30,15
40,17
50,22
60,23
70,22
80,16
90,17
100,21
110,20
120,23
130,27
140,25
150,25
160,23
170,20
180,17
190,21
200,17
210,15
220,19
230,24
240,24
250,28
260,29
270,32
280,29
290,24
300,21
310,21
320,17
330,19
340,25
350,25
360,25
370,23
380,22
390,18
400,19
410,18
420,20
430,21
440,22
450,26
460,29
470,27
480,21
490,27
500,28
510,30
520,32
530,29
540,30
550,27
560,27
570,23
580,20
590,22
600,21
610,16
620,14
630,13
640,8
650,5
660,4
670,1
