step,totalVehicleNumber
10,3
20,5
30,9
40,10
50,11
60,10
70,10
80,9
90,13
100,16
110,17
120,16
130,16
140,14
150,12
160,14
170,13
180,13
190,10
200,10
210,9
220,10
230,10
240,6
250,9
260,8
270,7
280,10
290,7
300,10
310,11
320,11
330,10
340,12
350,9
360,8
370,9
380,8
390,10
400,11
410,10
420,9
430,9
440,13
450,16
460,15
470,17
480,15
490,11
500,10
510,7
520,8
530,10
540,14
550,17
560,17
570,15
580,14
590,12
600,14
610,14
620,12
630,9
640,8
650,8
660,8
670,5
680,5
690,6
700,7
710,7
720,8
730,8
740,10
750,10
760,7
770,7
780,9
790,9
800,13
810,16
820,14
830,14
840,15
850,14
860,13
870,10
880,14
890,10
900,14
910,12
920,11
930,9
940,5
950,7
960,9
970,8
980,11
990,12
1000,13
1010,14
1020,13
1030,13
1040,17
1050,13
1060,15
1070,11
1080,13
1090,13
1100,12
1110,13
1120,15
1130,15
1140,14
1150,10
1160,8
1170,8
1180,5
1190,9
1200,8
1210,8
1220,7
1230,3
1240,2
1250,2
