step,totalVehicleNumber
10,3
20,4
30,8
40,10
50,9
60,11
70,11
80,9
90,12
100,14
110,16
120,16
130,14
140,13
150,12
160,13
170,14
180,12
190,10
200,10
210,8
220,10
230,8
240,8
250,9
260,9
270,7
280,6
290,7
300,9
310,10
320,10
330,8
340,10
350,10
360,9
370,9
380,9
390,10
400,11
410,10
420,9
430,9
440,13
450,15
460,18
470,19
480,15
490,11
500,10
510,7
520,7
530,11
540,14
550,17
560,15
570,15
580,14
590,11
600,13
610,13
620,12
630,9
640,7
650,8
660,7
670,6
680,6
690,6
700,6
710,7
720,8
730,9
740,10
750,10
760,7
770,7
780,9
790,9
800,12
810,15
820,15
830,15
840,17
850,13
860,13
870,8
880,10
890,11
900,13
910,11
920,11
930,10
940,4
950,9
960,9
970,9
980,11
990,12
1000,13
1010,14
1020,14
1030,13
1040,14
1050,13
1060,15
1070,11
1080,14
1090,13
1100,12
1110,12
1120,15
1130,14
1140,13
1150,10
1160,4
1170,5
1180,5
1190,10
1200,9
1210,10
1220,6
1230,1
