step,laneID,WaitingTime,CO2
10,-9_1,0.0,0.0
10,-0_2,0.0,0.0
10,-0_0,0.0,0.0
10,-5_1,0.0,0.0
10,0_2,0.0,0.0
10,4_1,0.0,0.0
10,7_0,0.0,0.0
10,-2_1,0.0,0.0
10,2_2,0.0,0.0
10,-1_0,0.0,0.0
10,-3_1,0.0,0.0
10,-9_0,0.0,6147.054684982837
10,-7_2,0.0,8867.885947841809
10,5_0,0.0,0.0
10,8_2,0.0,0.0
10,4_2,0.0,0.0
10,-5_0,0.0,4154.153305140273
10,8_0,0.0,0.0
10,1_2,0.0,0.0
10,3_0,0.0,2624.722222222222
10,-8_1,0.0,4400.815547558876
10,7_1,0.0,0.0
10,2_0,0.0,0.0
10,-0_1,0.0,0.0
10,-8_2,0.0,4005.9508097404937
10,-4_1,0.0,4732.485336526415
10,-1_2,0.0,0.0
10,5_1,0.0,0.0
10,-1_1,0.0,0.0
10,1_1,0.0,0.0
10,-3_2,0.0,0.0
10,-2_2,0.0,0.0
10,0_1,0.0,0.0
10,-5_2,0.0,9465.815737410627
10,-2_0,0.0,5837.897982440958
10,-7_1,0.0,0.0
10,-7_0,0.0,0.0
10,-9_2,0.0,0.0
10,9_1,0.0,0.0
10,-3_0,0.0,2624.722222222222
10,0_0,0.0,11865.748758940998
10,-6_0,0.0,3358.4331834332215
10,-8_0,0.0,2624.722222222222
10,5_2,0.0,0.0
10,6_0,0.0,0.0
10,2_1,0.0,0.0
10,3_2,0.0,7912.238732294047
10,-6_2,0.0,0.0
10,8_1,0.0,0.0
10,9_0,0.0,0.0
10,-4_2,0.0,0.0
10,4_0,0.0,0.0
10,9_2,0.0,0.0
10,6_1,0.0,0.0
10,-4_0,0.0,0.0
10,3_1,0.0,0.0
10,1_0,0.0,0.0
10,7_2,0.0,0.0
10,6_2,0.0,0.0
10,-6_1,0.0,0.0
20,-9_1,0.0,0.0
20,-0_2,0.0,0.0
20,-0_0,0.0,0.0
20,-5_1,0.0,0.0
20,0_2,0.0,0.0
20,4_1,0.0,0.0
20,7_0,0.0,0.0
20,-2_1,0.0,0.0
20,2_2,0.0,0.0
20,-1_0,0.0,10027.733447553024
20,-3_1,0.0,0.0
20,-9_0,0.0,3642.7573781543792
20,-7_2,0.0,0.0
20,5_0,0.0,0.0
20,8_2,0.0,0.0
20,4_2,0.0,0.0
20,-5_0,0.0,0.0
20,8_0,0.0,0.0
20,1_2,0.0,0.0
20,3_0,0.0,0.0
20,-8_1,0.0,4943.271079623555
20,7_1,0.0,0.0
20,2_0,0.0,0.0
20,-0_1,0.0,0.0
20,-8_2,2.0,10739.634141779548
20,-4_1,0.0,0.0
20,-1_2,0.0,0.0
20,5_1,0.0,0.0
20,-1_1,0.0,3958.989975183805
20,1_1,0.0,0.0
20,-3_2,0.0,0.0
20,-2_2,0.0,7710.0406903707335
20,0_1,0.0,0.0
20,-5_2,0.0,0.0
20,-2_0,0.0,0.0
20,-7_1,0.0,0.0
20,-7_0,0.0,0.0
20,-9_2,0.0,0.0
20,9_1,0.0,0.0
20,-3_0,0.0,1985.4433981331954
20,0_0,0.0,12098.13581093749
20,-6_0,0.0,0.0
20,-8_0,0.0,0.0
20,5_2,0.0,0.0
20,6_0,0.0,0.0
20,2_1,0.0,0.0
20,3_2,0.0,0.0
20,-6_2,0.0,0.0
20,8_1,0.0,0.0
20,9_0,0.0,0.0
20,-4_2,0.0,3383.234249081999
20,4_0,0.0,0.0
20,9_2,0.0,0.0
20,6_1,0.0,0.0
20,-4_0,0.0,11849.304807498222
20,3_1,0.0,2662.0545917355716
20,1_0,0.0,0.0
20,7_2,0.0,0.0
20,6_2,0.0,0.0
20,-6_1,0.0,0.0
30,-9_1,0.0,0.0
30,-0_2,0.0,0.0
30,-0_0,0.0,0.0
30,-5_1,0.0,5267.800828488055
30,0_2,0.0,0.0
30,4_1,0.0,0.0
30,7_0,0.0,0.0
30,-2_1,0.0,0.0
30,2_2,0.0,0.0
30,-1_0,0.0,0.0
30,-3_1,0.0,0.0
30,-9_0,4.0,2624.5261971708146
30,-7_2,5.0,2624.722222222222
30,5_0,0.0,0.0
30,8_2,0.0,0.0
30,4_2,0.0,0.0
30,-5_0,0.0,0.0
30,8_0,0.0,0.0
30,1_2,0.0,0.0
30,3_0,0.0,12215.236081756477
30,-8_1,0.0,0.0
30,7_1,0.0,0.0
30,2_0,0.0,0.0
30,-0_1,0.0,0.0
