step,laneID,WaitingTime,CO2
10,-1_0,0.0,0.0
10,1_1,0.0,0.0
10,-3_1,0.0,0.0
10,0_2,0.0,0.0
10,-6_0,0.0,3358.4331834332215
10,-9_0,0.0,6147.054684982837
10,-7_0,0.0,0.0
10,-7_2,0.0,8867.885947841809
10,8_1,0.0,0.0
10,3_2,0.0,7912.238732294047
10,-1_2,0.0,0.0
10,4_0,0.0,0.0
10,9_1,0.0,0.0
10,-4_2,0.0,0.0
10,8_2,0.0,0.0
10,-4_1,0.0,4732.485336526415
10,4_1,0.0,0.0
10,-3_0,0.0,2624.722222222222
10,-0_0,0.0,0.0
10,0_0,0.0,11865.748758940998
10,6_2,0.0,0.0
10,-3_2,0.0,0.0
10,-2_0,0.0,5837.897982440958
10,3_1,0.0,0.0
10,-6_2,0.0,0.0
10,-2_1,0.0,0.0
10,-5_2,0.0,9465.815737410627
10,6_1,0.0,0.0
10,4_2,0.0,0.0
10,-5_0,0.0,4154.153305140273
10,0_1,0.0,0.0
10,8_0,0.0,0.0
10,-1_1,0.0,0.0
10,-9_1,0.0,0.0
10,3_0,0.0,2624.722222222222
10,5_0,0.0,0.0
10,7_1,0.0,0.0
10,-2_2,0.0,0.0
10,-5_1,0.0,0.0
10,1_0,0.0,0.0
10,-7_1,0.0,0.0
10,-8_2,0.0,4005.9508097404937
10,1_2,0.0,0.0
10,7_0,0.0,0.0
10,-8_1,0.0,4400.815547558876
10,9_0,0.0,0.0
10,2_2,0.0,0.0
10,-9_2,0.0,0.0
10,-6_1,0.0,0.0
10,2_1,0.0,0.0
10,7_2,0.0,0.0
10,9_2,0.0,0.0
10,6_0,0.0,0.0
10,-0_2,0.0,0.0
10,-8_0,0.0,2624.722222222222
10,5_2,0.0,0.0
10,5_1,0.0,0.0
10,-0_1,0.0,0.0
10,-4_0,0.0,0.0
10,2_0,0.0,0.0
20,-1_0,0.0,10027.733447553024
20,1_1,0.0,0.0
20,-3_1,0.0,0.0
20,0_2,0.0,0.0
20,-6_0,0.0,0.0
20,-9_0,0.0,3642.7573781543792
20,-7_0,0.0,0.0
20,-7_2,0.0,0.0
20,8_1,0.0,0.0
20,3_2,0.0,0.0
20,-1_2,0.0,0.0
20,4_0,0.0,0.0
20,9_1,0.0,0.0
20,-4_2,0.0,3383.234249081999
20,8_2,0.0,0.0
20,-4_1,0.0,0.0
20,4_1,0.0,0.0
20,-3_0,0.0,1985.4433981331954
20,-0_0,0.0,0.0
20,0_0,0.0,12098.13581093749
20,6_2,0.0,0.0
20,-3_2,0.0,0.0
20,-2_0,0.0,0.0
20,3_1,0.0,2662.0545917355716
20,-6_2,0.0,9121.543780461066
20,-2_1,0.0,0.0
20,-5_2,0.0,0.0
20,6_1,0.0,0.0
20,4_2,0.0,0.0
20,-5_0,0.0,0.0
20,0_1,0.0,0.0
20,8_0,0.0,0.0
20,-1_1,0.0,3958.989975183805
20,-9_1,0.0,0.0
20,3_0,0.0,0.0
20,5_0,0.0,0.0
20,7_1,0.0,0.0
20,-2_2,0.0,7710.0406903707335
20,-5_1,0.0,0.0
20,1_0,0.0,0.0
20,-7_1,0.0,0.0
20,-8_2,0.0,4464.051629535043
20,1_2,0.0,0.0
20,7_0,0.0,0.0
20,-8_1,0.0,4943.271079623555
20,9_0,0.0,0.0
20,2_2,0.0,0.0
20,-9_2,0.0,0.0
20,-6_1,0.0,0.0
20,2_1,0.0,0.0
20,7_2,0.0,0.0
20,9_2,0.0,0.0
20,6_0,0.0,0.0
20,-0_2,0.0,0.0
20,-8_0,0.0,0.0
20,5_2,0.0,0.0
20,5_1,0.0,0.0
20,-0_1,0.0,0.0
20,-4_0,0.0,11849.304807498222
20,2_0,0.0,0.0
30,-1_0,0.0,0.0
30,1_1,0.0,0.0
30,-3_1,0.0,0.0
30,0_2,0.0,0.0
30,-6_0,0.0,8325.07895332141
30,-9_0,4.0,2624.5261971708146
30,-7_0,0.0,0.0
30,-7_2,0.0,0.0
30,8_1,0.0,0.0
30,3_2,5.0,2624.69606303177
30,-1_2,0.0,7880.102576870633
30,4_0,0.0,0.0
30,9_1,0.0,0.0
30,-4_2,4.0,2624.722222222222
30,8_2,0.0,0.0
30,-4_1,0.0,0.0
30,4_1,0.0,0.0
30,-3_0,1.0,10983.432797413205
30,-0_0,0.0,0.0
30,0_0,4.0,4847.948318653161
30,6_2,0.0,0.0
30,-3_2,0.0,0.0
30,-2_0,0.0,0.0
30,3_1,2.0,2621.9878401380756
30,-6_2,0.0,7795.488896132266
30,-2_1,0.0,0.0
30,-5_2,7.0,2624.722222222222
30,6_1,0.0,0.0
30,4_2,0.0,0.0
30,-5_0,0.0,0.0
30,0_1,0.0,0.0
30,8_0,0.0,0.0
30,-1_1,0.0,0.0
30,-9_1,0.0,0.0
30,3_0,0.0,12215.236081756477
30,5_0,0.0,0.0
30,7_1,0.0,0.0
30,-2_2,0.0,2930.483622877848
30,-5_1,0.0,5267.800828488055
30,1_0,0.0,5704.328718520264
30,-7_1,0.0,0.0
30,-8_2,0.0,1883.678095780465
30,1_2,0.0,0.0
30,7_0,0.0,0.0
30,-8_1,0.0,0.0
30,9_0,0.0,0.0
30,2_2,0.0,0.0
30,-9_2,0.0,0.0
30,-6_1,0.0,2649.4674507353748
30,2_1,0.0,0.0
30,7_2,0.0,0.0
30,9_2,0.0,4701.25386502787
30,6_0,0.0,2624.722222222222
30,-0_2,0.0,0.0
30,-8_0,0.0,0.0
30,5_2,0.0,0.0
30,5_1,0.0,0.0
30,-0_1,0.0,0.0
30,-4_0,0.0,5257.746008578421
30,2_0,0.0,0.0
40,-1_0,0.0,0.0
40,1_1,0.0,0.0
40,-3_1,0.0,3364.3712506841844
40,0_2,0.0,0.0
40,-6_0,0.0,4091.9676049106447
40,-9_0,0.0,0.0
40,-7_0,0.0,7416.010627249687
40,-7_2,0.0,0.0
40,8_1,0.0,0.0
40,3_2,15.0,8234.883574112864
40,-1_2,4.0,5165.2440048608105
40,4_0,0.0,0.0
40,9_1,0.0,0.0
40,-4_2,14.0,5953.450313828654
40,8_2,0.0,0.0
40,-4_1,2.0,7564.692024968559
40,4_1,0.0,0.0
40,-3_0,0.0,9272.489590310312
40,-0_0,0.0,0.0
40,0_0,0.0,0.0
40,6_2,0.0,3030.348315191478
40,-3_2,0.0,0.0
40,-2_0,0.0,7034.757048615633
40,3_1,0.0,5077.2179386656535
40,-6_2,0.0,0.0
40,-2_1,0.0,0.0
40,-5_2,17.0,11441.705787514227
40,6_1,0.0,0.0
40,4_2,0.0,0.0
40,-5_0,0.0,2624.722222222222
40,0_1,0.0,0.0
40,8_0,0.0,0.0
40,-1_1,0.0,4622.625920366303
40,-9_1,0.0,0.0
40,3_0,0.0,2624.722222222222
40,5_0,0.0,0.0
40,7_1,0.0,0.0
40,-2_2,6.0,2624.722222222222
40,-5_1,0.0,0.0
40,1_0,0.0,0.0
40,-7_1,0.0,6222.0111406208935
40,-8_2,0.0,10684.5984506561
40,1_2,0.0,0.0
40,7_0,0.0,0.0
40,-8_1,0.0,0.0
40,9_0,0.0,0.0
40,2_2,0.0,0.0
40,-9_2,0.0,0.0
40,-6_1,0.0,8011.407030486469
40,2_1,0.0,0.0
40,7_2,0.0,0.0
40,9_2,0.0,3366.812163372905
40,6_0,0.0,24435.62830546106
40,-0_2,0.0,0.0
40,-8_0,0.0,0.0
40,5_2,0.0,0.0
40,5_1,0.0,0.0
40,-0_1,0.0,2597.800516436149
40,-4_0,5.0,5249.444444444444
40,2_0,0.0,3607.764147334387
50,-1_0,0.0,0.0
50,1_1,0.0,0.0
50,-3_1,0.0,0.0
50,0_2,0.0,1461.6082026082265
50,-6_0,0.0,6853.647686250046
50,-9_0,0.0,0.0
50,-7_0,0.0,0.0
50,-7_2,0.0,0.0
50,8_1,0.0,0.0
50,3_2,25.0,24287.00057620797
50,-1_2,32.0,16751.629039365038
50,4_0,0.0,0.0
50,9_1,0.0,0.0
50,-4_2,0.0,3126.755081684496
50,8_2,0.0,0.0
50,-4_1,12.0,2624.722222222222
50,4_1,0.0,0.0
50,-3_0,0.0,11319.56752954709
50,-0_0,0.0,3174.4528829332476
50,0_0,0.0,2624.722222222222
50,6_2,1.0,5754.252414061351
50,-3_2,0.0,13579.14410109199
50,-2_0,0.0,0.0
50,3_1,0.0,0.0
50,-6_2,6.0,2624.722222222222
50,-2_1,0.0,0.0
50,-5_2,0.0,0.0
50,6_1,0.0,3287.7491747876043
50,4_2,0.0,0.0
50,-5_0,0.0,0.0
50,0_1,0.0,0.0
50,8_0,0.0,0.0
50,-1_1,0.0,3507.5198639855803
50,-9_1,0.0,0.0
50,3_0,0.0,3063.4012067464387
50,5_0,0.0,0.0
50,7_1,0.0,0.0
50,-2_2,16.0,2624.722222222222
50,-5_1,0.0,0.0
50,1_0,0.0,0.0
50,-7_1,0.0,0.0
50,-8_2,10.0,4999.485523320289
